"country_year";"alpha_3";"year";"political_stability";"population_total";"population_rural";"population_urban";"safe_drinking_water_total";"basic_drinking_water_total";"safe_drinking_water_rural";"basic_drinking_water_rural";"safe_drinking_water_urban";"basic_drinking_water_urban";"unknown_drinking_water_total";"unknown_drinking_water_rural";"unknown_drinking_water_urban"
"ABW_2000";"ABW";2000;NA;90853;48409;42444;NA;NA;NA;NA;NA;NA;90853;48409;42444
"ABW_2001";"ABW";2001;NA;92898;49850;43048;NA;NA;NA;NA;NA;NA;92898;49850;43048
"ABW_2002";"ABW";2002;NA;94992;51322;43670;NA;NA;NA;NA;NA;NA;94992;51322;43670
"ABW_2003";"ABW";2003;NA;97017;52771;44246;NA;NA;NA;NA;NA;NA;97017;52771;44246
"ABW_2004";"ABW";2004;NA;98737;54068;44669;NA;NA;NA;NA;NA;NA;98737;54068;44669
"ABW_2005";"ABW";2005;NA;100031;55142;44889;NA;NA;NA;NA;NA;NA;100031;55142;44889
"ABW_2006";"ABW";2006;NA;100834;55952;44882;NA;NA;NA;NA;NA;NA;100834;55952;44882
"ABW_2007";"ABW";2007;NA;101222;56536;44686;NA;NA;NA;NA;NA;NA;101222;56536;44686
"ABW_2008";"ABW";2008;NA;101358;56981;44377;NA;NA;NA;NA;NA;NA;101358;56981;44377
"ABW_2009";"ABW";2009;NA;101455;57402;44053;NA;NA;NA;NA;NA;NA;101455;57402;44053
"ABW_2010";"ABW";2010;NA;101669;57891;43778;NA;NA;NA;NA;NA;NA;101669;57891;43778
"ABW_2011";"ABW";2011;NA;102046;58227;43819;NA;NA;NA;NA;NA;NA;102046;58227;43819
"ABW_2012";"ABW";2012;NA;102560;58503;44057;NA;NA;NA;NA;NA;NA;102560;58503;44057
"ABW_2013";"ABW";2013;NA;103159;58810;44349;NA;NA;NA;NA;NA;NA;103159;58810;44349
"ABW_2014";"ABW";2014;NA;103774;59109;44665;NA;NA;NA;NA;NA;NA;103774;59109;44665
"ABW_2015";"ABW";2015;NA;104341;59362;44979;NA;NA;NA;NA;NA;NA;104341;59362;44979
"ABW_2016";"ABW";2016;NA;104872;59575;45297;NA;NA;NA;NA;NA;NA;104872;59575;45297
"ABW_2017";"ABW";2017;NA;105366;59750;45616;NA;NA;NA;NA;NA;NA;105366;59750;45616
"ABW_2018";"ABW";2018;NA;105845;59897;45948;NA;NA;NA;NA;NA;NA;105845;59897;45948
"AFG_2000";"AFG";2000;-2,44;20779953;16192173;4587780;NA;5770988;NA;3500607;NA;2270375;NA;NA;NA
"AFG_2001";"AFG";2001;NA;21606988;16816848;4790140;NA;6006151;NA;3635656;NA;2370518;NA;NA;NA
"AFG_2002";"AFG";2002;-2,04;22600770;17569548;5031222;NA;6757802;NA;4146392;NA;2611429;NA;NA;NA
"AFG_2003";"AFG";2003;-2,2;23680871;18387381;5293490;NA;7579079;NA;4703608;NA;2875503;NA;NA;NA
"AFG_2004";"AFG";2004;-2,3;24726684;19163076;5563608;NA;8438285;NA;5281608;NA;3156708;NA;NA;NA
"AFG_2005";"AFG";2005;-2,07;25654277;19829973;5824304;NA;9303590;NA;5858196;NA;3445398;NA;NA;NA
"AFG_2006";"AFG";2006;-2,22;26433049;20377964;6055085;NA;10151972;NA;6423721;NA;3728270;NA;NA;NA
"AFG_2007";"AFG";2007;-2,41;27100536;20836861;6263675;NA;11068992;NA;7028844;NA;4040126;NA;NA;NA
"AFG_2008";"AFG";2008;-2,69;27722276;21257498;6464778;NA;12007920;NA;7646256;NA;4361647;NA;NA;NA
"AFG_2009";"AFG";2009;-2,71;28394813;21714204;6680609;NA;13010245;NA;8302150;NA;4708054;NA;NA;NA
"AFG_2010";"AFG";2010;-2,58;29185507;22257771;6927736;NA;14113049;NA;9019931;NA;5093109;NA;NA;NA
"AFG_2011";"AFG";2011;-2,5;30117413;22905039;7212374;NA;15337988;NA;9813224;NA;5524715;NA;NA;NA
"AFG_2012";"AFG";2012;-2,42;31161376;23632879;7528497;NA;16681214;NA;10679318;NA;6001867;NA;NA;NA
"AFG_2013";"AFG";2013;-2,52;32269589;24404657;7864932;NA;18125712;NA;11607048;NA;6518618;NA;NA;NA
"AFG_2014";"AFG";2014;-2,41;33370794;25165909;8204885;NA;19635786;NA;12572959;NA;7062831;NA;NA;NA
"AFG_2015";"AFG";2015;-2,57;34413603;25878090;8535513;NA;21180516;NA;13556719;NA;7623762;NA;NA;NA
"AFG_2016";"AFG";2016;-2,67;35383032;26530198;8852834;NA;22746506;NA;14549301;NA;8197205;NA;NA;NA
"AFG_2017";"AFG";2017;-2,8;36296113;27131215;9164898;NA;24341850;NA;15551962;NA;8789938;NA;NA;NA
"AFG_2018";"AFG";2018;-2,75;37171921;27694980;9476941;NA;NA;NA;NA;NA;NA;37171921;27694980;9476941
"AGO_2000";"AGO";2000;-2,04;16395473;8183414;8212059;NA;6745804;NA;1731008;NA;5014819;NA;NA;NA
"AGO_2001";"AGO";2001;NA;16945753;8256969;8688784;NA;7160372;NA;1777578;NA;5382802;NA;NA;NA
"AGO_2002";"AGO";2002;-1,58;17519417;8328545;9190872;NA;7599362;NA;1824210;NA;5775156;NA;NA;NA
"AGO_2003";"AGO";2003;-1,01;18121479;8400168;9721311;NA;8039389;NA;1871331;NA;6168077;NA;NA;NA
"AGO_2004";"AGO";2004;-1,06;18758145;8473628;10284517;NA;8507070;NA;1919347;NA;6587718;NA;NA;NA
"AGO_2005";"AGO";2005;-0,89;19433602;8550784;10882818;NA;9004758;NA;1968704;NA;7036053;NA;NA;NA
"AGO_2006";"AGO";2006;-0,54;20149901;8712060;11437841;NA;9500725;NA;2038258;NA;7462446;NA;NA;NA
"AGO_2007";"AGO";2007;-0,67;20905363;8879696;12025667;NA;10026519;NA;2110463;NA;7916084;NA;NA;NA
"AGO_2008";"AGO";2008;-0,36;21695634;9050905;12644729;NA;10581047;NA;2184714;NA;8396368;NA;NA;NA
"AGO_2009";"AGO";2009;-0,35;22514281;9223098;13291183;NA;11161491;NA;2260413;NA;8901123;NA;NA;NA
"AGO_2010";"AGO";2010;-0,23;23356246;9393095;13963151;NA;11766139;NA;2336775;NA;9429401;NA;NA;NA
"AGO_2011";"AGO";2011;-0,37;24220661;9560441;14660220;NA;12394885;NA;2413659;NA;9981200;NA;NA;NA
"AGO_2012";"AGO";2012;-0,39;25107931;9724732;15383199;NA;13048225;NA;2490927;NA;10557329;NA;NA;NA
"AGO_2013";"AGO";2013;-0,39;26015781;9885570;16130211;NA;13725237;NA;2568440;NA;11156756;NA;NA;NA
"AGO_2014";"AGO";2014;-0,33;26941779;10041052;16900727;NA;14425035;NA;2645655;NA;11779328;NA;NA;NA
"AGO_2015";"AGO";2015;-0,5;27884381;10192726;17691655;NA;15145940;NA;2722923;NA;12423073;NA;NA;NA
"AGO_2016";"AGO";2016;-0,32;28842489;10340266;18502223;NA;15887677;NA;2800110;NA;13087590;NA;NA;NA
"AGO_2017";"AGO";2017;-0,33;29816766;10484007;19332759;NA;16650547;NA;2877261;NA;13773230;NA;NA;NA
"AGO_2018";"AGO";2018;-0,32;30809787;10624938;20184849;NA;NA;NA;NA;NA;NA;30809787;10624938;20184849
"AIA_2000";"AIA";2000;NA;11252;0;11252;NA;NA;NA;NA;NA;NA;11252;NA;11252
"AIA_2001";"AIA";2001;NA;11515;0;11515;NA;NA;NA;NA;NA;NA;11515;NA;11515
"AIA_2002";"AIA";2002;NA;11761;0;11761;NA;NA;NA;NA;NA;NA;11761;NA;11761
"AIA_2003";"AIA";2003;NA;12001;0;12001;NA;NA;NA;NA;NA;NA;12001;NA;12001
"AIA_2004";"AIA";2004;NA;12233;0;12233;NA;NA;NA;NA;NA;NA;12233;NA;12233
"AIA_2005";"AIA";2005;NA;12453;0;12453;NA;NA;NA;NA;NA;NA;12453;NA;12453
"AIA_2006";"AIA";2006;NA;12661;0;12661;NA;NA;NA;NA;NA;NA;12661;NA;12661
"AIA_2007";"AIA";2007;NA;12868;0;12868;NA;NA;NA;NA;NA;NA;12868;NA;12868
"AIA_2008";"AIA";2008;NA;13063;0;13063;NA;NA;NA;NA;NA;NA;13063;NA;13063
"AIA_2009";"AIA";2009;NA;13258;0;13258;NA;NA;NA;NA;NA;NA;13258;NA;13258
"AIA_2010";"AIA";2010;NA;13438;0;13438;NA;NA;NA;NA;NA;NA;13438;NA;13438
"AIA_2011";"AIA";2011;NA;13620;0;13620;NA;NA;NA;NA;NA;NA;13620;NA;13620
"AIA_2012";"AIA";2012;NA;13795;0;13795;NA;NA;NA;NA;NA;NA;13795;NA;13795
"AIA_2013";"AIA";2013;NA;13954;0;13954;NA;NA;NA;NA;NA;NA;13954;NA;13954
"AIA_2014";"AIA";2014;NA;14112;0;14112;NA;NA;NA;NA;NA;NA;14112;NA;14112
"AIA_2015";"AIA";2015;NA;14279;0;14279;NA;NA;NA;NA;NA;NA;14279;NA;14279
"AIA_2016";"AIA";2016;NA;14429;0;14429;NA;NA;NA;NA;NA;NA;14429;NA;14429
"AIA_2017";"AIA";2017;NA;14584;0;14584;NA;NA;NA;NA;NA;NA;14584;NA;14584
"AIA_2018";"AIA";2018;NA;14731;0;14731;NA;NA;NA;NA;NA;NA;14731;NA;14731
"ALB_2000";"ALB";2000;-0,54;3129243;1823070;1306173;1542505;2749560;NA;1490993;NA;1258567;NA;NA;NA
"ALB_2001";"ALB";2001;NA;3129704;1801623;1328081;1540358;2750683;NA;1474365;NA;1276317;NA;NA;NA
"ALB_2002";"ALB";2002;-0,29;3126187;1766273;1359914;1534381;2748328;NA;1446331;NA;1301995;NA;NA;NA
"ALB_2003";"ALB";2003;-0,31;3118023;1728234;1389789;1526031;2741644;NA;1416058;NA;1325585;NA;NA;NA
"ALB_2004";"ALB";2004;-0,43;3104892;1687467;1417425;1575260;2730350;NA;1383510;NA;1346841;NA;NA;NA
"ALB_2005";"ALB";2005;-0,51;3086810;1644311;1442499;1622154;2714443;NA;1348962;NA;1365482;NA;NA;NA
"ALB_2006";"ALB";2006;-0,51;3063021;1598427;1464594;1666005;2693270;NA;1312130;NA;1381142;NA;NA;NA
"ALB_2007";"ALB";2007;-0,2;3033998;1550322;1483676;1706739;2667251;NA;1273427;NA;1393823;NA;NA;NA
"ALB_2008";"ALB";2008;-0,03;3002678;1501623;1501055;1745740;2638971;NA;1234188;NA;1404782;NA;NA;NA
"ALB_2009";"ALB";2009;-0,05;2973048;1454521;1518527;1785245;2611924;NA;1196212;NA;1415714;NA;NA;NA
"ALB_2010";"ALB";2010;-0,19;2948023;1410252;1537771;1827116;2588697;NA;1160520;NA;1428176;NA;NA;NA
"ALB_2011";"ALB";2011;-0,28;2928592;1369201;1559391;1872223;2570142;NA;1127434;NA;1442709;NA;NA;NA
"ALB_2012";"ALB";2012;-0,14;2914096;1330871;1583225;1920430;2560338;NA;1099177;NA;1461160;NA;NA;NA
"ALB_2013";"ALB";2013;0,09;2903790;1295460;1608330;1971480;2597762;NA;1117089;NA;1480673;NA;NA;NA
"ALB_2014";"ALB";2014;0,49;2896305;1262127;1634178;2024624;2635093;NA;1134339;NA;1500754;NA;NA;NA
"ALB_2015";"ALB";2015;0,35;2890513;1230363;1660150;2021755;2630396;NA;1105791;NA;1524606;NA;NA;NA
"ALB_2016";"ALB";2016;0,34;2886438;1200143;1686295;2020054;2627247;NA;1078631;NA;1548616;NA;NA;NA
"ALB_2017";"ALB";2017;0,38;2884169;1171464;1712705;2019586;2625725;NA;1052855;NA;1572870;NA;NA;NA
"ALB_2018";"ALB";2018;0,38;2882740;1143903;1738837;NA;NA;NA;NA;NA;NA;2882740;1143903;1738837
"AND_2000";"AND";2000;1,17;65390;4973;60417;59269;65390;NA;4973;NA;60417;NA;NA;NA
"AND_2001";"AND";2001;NA;67341;5349;61992;61038;67341;NA;5349;NA;61992;NA;NA;NA
"AND_2002";"AND";2002;1,28;70049;5855;64194;63492;70049;NA;5855;NA;64194;NA;NA;NA
"AND_2003";"AND";2003;1,46;73182;6435;66747;66332;73182;NA;6435;NA;66747;NA;NA;NA
"AND_2004";"AND";2004;1,4;76244;7052;69192;69108;76244;NA;7052;NA;69192;NA;NA;NA
"AND_2005";"AND";2005;1,38;78867;7662;71205;71485;78867;NA;7662;NA;71205;NA;NA;NA
"AND_2006";"AND";2006;1,35;80993;8256;72737;73412;80993;NA;8256;NA;72737;NA;NA;NA
"AND_2007";"AND";2007;1,34;82684;8840;73844;74945;82684;NA;8840;NA;73844;NA;NA;NA
"AND_2008";"AND";2008;1,34;83862;9221;74641;76013;83862;NA;9221;NA;74641;NA;NA;NA
"AND_2009";"AND";2009;1,3;84463;9365;75098;76557;84463;NA;9365;NA;75098;NA;NA;NA
"AND_2010";"AND";2010;1,28;84449;9442;75007;76545;84449;NA;9442;NA;75007;NA;NA;NA
"AND_2011";"AND";2011;1,3;83747;9442;74305;75908;83747;NA;9442;NA;74305;NA;NA;NA
"AND_2012";"AND";2012;1,29;82427;9371;73056;74712;82427;NA;9371;NA;73056;NA;NA;NA
"AND_2013";"AND";2013;1,28;80774;9259;71515;73214;80774;NA;9259;NA;71515;NA;NA;NA
"AND_2014";"AND";2014;1,29;79213;9156;70057;71799;79213;NA;9156;NA;70057;NA;NA;NA
"AND_2015";"AND";2015;1,39;78011;9093;68918;70709;78011;NA;9093;NA;68918;NA;NA;NA
"AND_2016";"AND";2016;1,41;77297;9084;68213;70062;77297;NA;9084;NA;68213;NA;NA;NA
"AND_2017";"AND";2017;1,42;77001;9124;67877;69794;77001;NA;9124;NA;67877;NA;NA;NA
"AND_2018";"AND";2018;1,43;77006;9193;67813;NA;NA;NA;NA;NA;NA;77006;9193;67813
"ANT_2000";"ANT";2000;NA;215459;19118;196341;NA;NA;NA;NA;NA;NA;215459;19118;196341
"ANT_2001";"ANT";2001;NA;214832;18601;196231;NA;NA;NA;NA;NA;NA;214832;18601;196231
"ANT_2002";"ANT";2002;NA;214774;18709;196065;NA;NA;NA;NA;NA;NA;214774;18709;196065
"ANT_2003";"ANT";2003;NA;215551;18915;196636;NA;NA;NA;NA;NA;NA;215551;18915;196636
"ANT_2004";"ANT";2004;NA;217500;19297;198203;NA;NA;NA;NA;NA;NA;217500;19297;198203
"ANT_2005";"ANT";2005;NA;220768;19889;200879;NA;NA;NA;NA;NA;NA;220768;19889;200879
"ANT_2006";"ANT";2006;NA;225554;20729;204825;NA;NA;NA;NA;NA;NA;225554;20729;204825
"ANT_2007";"ANT";2007;NA;231665;21794;209871;NA;NA;NA;NA;NA;NA;231665;21794;209871
"ANT_2008";"ANT";2008;NA;238470;22971;215499;NA;NA;NA;NA;NA;NA;238470;22971;215499
"ANT_2009";"ANT";2009;NA;245157;24122;221035;NA;NA;NA;NA;NA;NA;245157;24122;221035
"ANT_2010";"ANT";2010;NA;251116;25140;225976;NA;NA;NA;NA;NA;NA;251116;25140;225976
"ANT_2011";"ANT";2011;NA;256155;25986;230169;NA;NA;NA;NA;NA;NA;256155;25986;230169
"ANT_2012";"ANT";2012;NA;260348;26655;233693;NA;NA;NA;NA;NA;NA;260348;26655;233693
"ANT_2013";"ANT";2013;NA;263872;27189;236683;NA;NA;NA;NA;NA;NA;263872;27189;236683
"ANT_2014";"ANT";2014;NA;267006;27651;239355;NA;NA;NA;NA;NA;NA;267006;27651;239355
"ANT_2015";"ANT";2015;NA;269936;28084;241852;NA;NA;NA;NA;NA;NA;269936;28084;241852
"ANT_2016";"ANT";2016;NA;272693;28501;244192;NA;NA;NA;NA;NA;NA;272693;28501;244192
"ANT_2017";"ANT";2017;NA;275186;28880;246306;NA;NA;NA;NA;NA;NA;275186;28880;246306
"ANT_2018";"ANT";2018;NA;277483;29221;248262;NA;NA;NA;NA;NA;NA;277483;29221;248262
"ARE_2000";"ARE";2000;0,98;3134062;619404;2514658;NA;2998611;NA;NA;NA;NA;NA;619404;2514658
"ARE_2001";"ARE";2001;NA;3302719;638922;2663797;NA;3159979;NA;NA;NA;NA;NA;638922;2663797
"ARE_2002";"ARE";2002;0,93;3478777;658647;2820130;NA;3329029;NA;NA;NA;NA;NA;658647;2820130
"ARE_2003";"ARE";2003;1;3711932;687746;3024186;NA;3552789;NA;NA;NA;NA;NA;687746;3024186
"ARE_2004";"ARE";2004;0,77;4068570;737586;3330984;NA;3894840;NA;NA;NA;NA;NA;737586;3330984
"ARE_2005";"ARE";2005;0,88;4588225;813839;3774386;NA;4393099;NA;NA;NA;NA;NA;813839;3774386
"ARE_2006";"ARE";2006;0,92;5300174;919706;4380468;NA;5075687;NA;NA;NA;NA;NA;919706;4380468
"ARE_2007";"ARE";2007;0,98;6168838;1047314;5121524;NA;5908627;NA;NA;NA;NA;NA;1047314;5121524
"ARE_2008";"ARE";2008;0,7;7089487;1177758;5911729;NA;6791668;NA;NA;NA;NA;NA;1177758;5911729
"ARE_2009";"ARE";2009;0,92;7917372;1287196;6630176;NA;7586146;NA;NA;NA;NA;NA;1287196;6630176
"ARE_2010";"ARE";2010;0,8;8549988;1360536;7189452;NA;8193777;NA;NA;NA;NA;NA;1360536;7189452
"ARE_2011";"ARE";2011;0,91;8946777;1393647;7553130;NA;8575584;NA;NA;NA;NA;NA;1393647;7553130
"ARE_2012";"ARE";2012;0,86;9141596;1394163;7747433;NA;8763904;NA;NA;NA;NA;NA;1394163;7747433
"ARE_2013";"ARE";2013;0,89;9197910;1373575;7824335;NA;8819485;NA;NA;NA;NA;NA;1373575;7824335
"ARE_2014";"ARE";2014;0,77;9214175;1347598;7866577;NA;8857750;NA;NA;NA;NA;NA;1347598;7866577
"ARE_2015";"ARE";2015;0,76;9262900;1326976;7935924;NA;8963658;NA;NA;NA;NA;NA;1326976;7935924
"ARE_2016";"ARE";2016;0,56;9360980;1313784;8047196;NA;9118284;NA;NA;NA;NA;NA;1313784;8047196
"ARE_2017";"ARE";2017;0,62;9487203;1304681;8182522;NA;9301777;NA;NA;NA;NA;NA;1304681;8182522
"ARE_2018";"ARE";2018;0,74;9630959;1298013;8332946;NA;NA;NA;NA;NA;NA;9630959;1298013;8332946
"ARG_2000";"ARG";2000;0,1;36870787;4003425;32867362;NA;35474494;NA;3058804;NA;32415695;NA;NA;NA
"ARG_2001";"ARG";2001;NA;37275652;3977838;33297814;NA;35956888;NA;3094211;NA;32862638;NA;NA;NA
"ARG_2002";"ARG";2002;-0,78;37681749;3952961;33728788;NA;36440184;NA;3129474;NA;33310683;NA;NA;NA
"ARG_2003";"ARG";2003;-0,36;38087868;3928351;34159517;NA;36923320;NA;3164264;NA;33759062;NA;NA;NA
"ARG_2004";"ARG";2004;-0,61;38491972;3903025;34588947;NA;37404512;NA;3197788;NA;34206739;NA;NA;NA
"ARG_2005";"ARG";2005;-0,04;38892931;3877177;35015754;NA;37882563;NA;3230177;NA;34652396;NA;NA;NA
"ARG_2006";"ARG";2006;0;39289878;3850482;35439396;NA;38356637;NA;3261134;NA;35095492;NA;NA;NA
"ARG_2007";"ARG";2007;0,1;39684295;3823217;35861078;NA;38828086;NA;3290863;NA;35537217;NA;NA;NA
"ARG_2008";"ARG";2008;-0,09;40080160;3795699;36284461;NA;39300829;NA;3319617;NA;35981199;NA;NA;NA
"ARG_2009";"ARG";2009;-0,23;40482788;3768703;36714085;NA;39780031;NA;3348075;NA;36431941;NA;NA;NA
"ARG_2010";"ARG";2010;-0,08;40895752;3742273;37153479;NA;40269254;NA;3376297;NA;36892963;NA;NA;NA
"ARG_2011";"ARG";2011;0,16;41320500;3723181;37597319;NA;40769520;NA;3410511;NA;37358993;NA;NA;NA
"ARG_2012";"ARG";2012;0,1;41755196;3707652;38047544;NA;41279496;NA;3447511;NA;37831974;NA;NA;NA
"ARG_2013";"ARG";2013;0,07;42196030;3692396;38503634;NA;41744705;NA;3433325;NA;38311393;NA;NA;NA
"ARG_2014";"ARG";2014;-0,01;42637511;3676708;38960803;NA;42211242;NA;3418738;NA;38792500;NA;NA;NA
"ARG_2015";"ARG";2015;0,01;43075416;3660316;39415100;NA;42674875;NA;3403496;NA;39271361;NA;NA;NA
"ARG_2016";"ARG";2016;0,2;43508460;3643066;39865394;NA;43107477;NA;3387456;NA;39720013;NA;NA;NA
"ARG_2017";"ARG";2017;0,17;43937140;3625254;40311886;NA;NA;NA;NA;NA;40164877;43937140;3625254;NA
"ARG_2018";"ARG";2018;0,02;44361150;3606355;40754795;NA;NA;NA;NA;NA;NA;44361150;3606355;40754795
"ARM_2000";"ARM";2000;-0,68;3069591;1084599;1984992;908524;2920210;NA;960530;NA;1959681;NA;NA;NA
"ARM_2001";"ARM";2001;NA;3050687;1086487;1964200;907360;2910944;NA;970286;NA;1940660;NA;NA;NA
"ARM_2002";"ARM";2002;-0,26;3033978;1085075;1948903;1010259;2904172;NA;977132;NA;1927041;NA;NA;NA
"ARM_2003";"ARM";2003;0,24;3017932;1082326;1935606;1111911;2898153;NA;982775;NA;1915378;NA;NA;NA
"ARM_2004";"ARM";2004;-0,12;3000720;1079134;1921586;1212001;2890984;NA;988004;NA;1902979;NA;NA;NA
"ARM_2005";"ARM";2005;-0,07;2981269;1075096;1906173;1309938;2881614;NA;992437;NA;1889178;NA;NA;NA
"ARM_2006";"ARM";2006;-0,26;2958307;1069757;1888550;1404872;2868792;NA;995630;NA;1873162;NA;NA;NA
"ARM_2007";"ARM";2007;0,15;2932618;1063387;1869231;1496836;2853243;NA;997807;NA;1855436;NA;NA;NA
"ARM_2008";"ARM";2008;-0,01;2907618;1057224;1850394;1587399;2838275;NA;1000114;NA;1838160;NA;NA;NA
"ARM_2009";"ARM";2009;0,23;2888092;1053003;1835089;1679419;2828578;NA;1004211;NA;1824367;NA;NA;NA
"ARM_2010";"ARM";2010;0,07;2877319;1051949;1825370;1775503;2827428;NA;1011320;NA;1816108;NA;NA;NA
"ARM_2011";"ARM";2011;-0,06;2876538;1054541;1821997;1877394;2836131;NA;1021977;NA;1814153;NA;NA;NA
"ARM_2012";"ARM";2012;0,15;2884234;1060255;1823979;1985116;2853287;NA;1035757;NA;1817530;NA;NA;NA
"ARM_2013";"ARM";2013;0,11;2897588;1067361;1830227;2097593;2876193;NA;1051028;NA;1825165;NA;NA;NA
"ARM_2014";"ARM";2014;-0,3;2912409;1074326;1838083;2212302;2900563;NA;1066303;NA;1834260;NA;NA;NA
"ARM_2015";"ARM";2015;-0,25;2925553;1079975;1845578;2323912;2917783;NA;1075609;NA;1842174;NA;NA;NA
"ARM_2016";"ARM";2016;-0,66;2936143;1083974;1852169;2437174;2933164;NA;1083974;NA;1849190;NA;NA;NA
"ARM_2017";"ARM";2017;-0,62;2944791;1086539;1858252;2546548;2942240;NA;1086539;NA;1855701;NA;NA;NA
"ARM_2018";"ARM";2018;-0,42;2951745;1087758;1863987;NA;NA;NA;NA;NA;NA;2951745;1087758;1863987
"ASM_2000";"ASM";2000;NA;57821;6599;51222;NA;NA;NA;NA;NA;NA;57821;6599;51222
"ASM_2001";"ASM";2001;NA;58494;6732;51762;NA;NA;NA;NA;NA;NA;58494;6732;51762
"ASM_2002";"ASM";2002;NA;59080;6857;52223;NA;NA;NA;NA;NA;NA;59080;6857;52223
"ASM_2003";"ASM";2003;NA;59504;6964;52540;NA;NA;NA;NA;NA;NA;59504;6964;52540
"ASM_2004";"ASM";2004;0,74;59681;7043;52638;NA;NA;NA;NA;NA;NA;59681;7043;52638
"ASM_2005";"ASM";2005;0,75;59562;7088;52474;NA;NA;NA;NA;NA;NA;59562;7088;52474
"ASM_2006";"ASM";2006;0,7;59107;7093;52014;NA;NA;NA;NA;NA;NA;59107;7093;52014
"ASM_2007";"ASM";2007;0,97;58365;7062;51303;NA;NA;NA;NA;NA;NA;58365;7062;51303
"ASM_2008";"ASM";2008;0,98;57492;7014;50478;NA;NA;NA;NA;NA;NA;57492;7014;50478
"ASM_2009";"ASM";2009;0,95;56683;6974;49709;NA;NA;NA;NA;NA;NA;56683;6974;49709
"ASM_2010";"ASM";2010;0,92;56079;6957;49122;NA;NA;NA;NA;NA;NA;56079;6957;49122
"ASM_2011";"ASM";2011;0,93;55759;6969;48790;NA;NA;NA;NA;NA;NA;55759;6969;48790
"ASM_2012";"ASM";2012;0,95;55667;7003;48664;NA;NA;NA;NA;NA;NA;55667;7003;48664
"ASM_2013";"ASM";2013;0,93;55713;7048;48665;NA;NA;NA;NA;NA;NA;55713;7048;48665
"ASM_2014";"ASM";2014;1,08;55791;7092;48699;NA;NA;NA;NA;NA;NA;55791;7092;48699
"ASM_2015";"ASM";2015;1,18;55812;7123;48689;NA;NA;NA;NA;NA;NA;55812;7123;48689
"ASM_2016";"ASM";2016;1,19;55741;7136;48605;NA;NA;NA;NA;NA;NA;55741;7136;48605
"ASM_2017";"ASM";2017;1,22;55620;7136;48484;NA;NA;NA;NA;NA;NA;55620;7136;48484
"ASM_2018";"ASM";2018;1,21;55465;7126;48339;NA;NA;NA;NA;NA;NA;55465;7126;48339
"ATG_2000";"ATG";2000;0,71;76016;51594;24422;NA;74689;NA;NA;NA;NA;NA;51594;24422
"ATG_2001";"ATG";2001;NA;77212;52705;24507;NA;75774;NA;NA;NA;NA;NA;52705;24507
"ATG_2002";"ATG";2002;0,79;78295;53947;24348;NA;76745;NA;NA;NA;NA;NA;53947;24348
"ATG_2003";"ATG";2003;0,87;79300;55142;24158;NA;77638;NA;NA;NA;NA;NA;55142;24158
"ATG_2004";"ATG";2004;1,09;80336;56366;23970;NA;78559;NA;NA;NA;NA;NA;56366;23970
"ATG_2005";"ATG";2005;0,83;81465;57663;23802;NA;79568;NA;NA;NA;NA;NA;57663;23802
"ATG_2006";"ATG";2006;0,8;82704;59045;23659;NA;80682;NA;NA;NA;NA;NA;59045;23659
"ATG_2007";"ATG";2007;0,8;84026;60497;23529;NA;81873;NA;NA;NA;NA;NA;60497;23529
"ATG_2008";"ATG";2008;0,81;85397;61994;23403;NA;83110;NA;NA;NA;NA;NA;61994;23403
"ATG_2009";"ATG";2009;0,72;86746;63483;23263;NA;84322;NA;NA;NA;NA;NA;63483;23263
"ATG_2010";"ATG";2010;0,9;88028;64931;23097;NA;85465;NA;NA;NA;NA;NA;64931;23097
"ATG_2011";"ATG";2011;0,96;89253;66312;22941;NA;86551;NA;NA;NA;NA;NA;66312;22941
"ATG_2012";"ATG";2012;0,98;90409;67331;23078;NA;87566;NA;NA;NA;NA;NA;67331;23078
"ATG_2013";"ATG";2013;0,96;91516;68317;23199;NA;88532;NA;NA;NA;NA;NA;68317;23199
"ATG_2014";"ATG";2014;0,98;92562;69260;23302;NA;89544;NA;NA;NA;NA;NA;69260;23302
"ATG_2015";"ATG";2015;1;93566;70174;23392;NA;90515;NA;NA;NA;NA;NA;70174;23392
"ATG_2016";"ATG";2016;0,88;94527;71041;23486;NA;91445;NA;NA;NA;NA;NA;71041;23486
"ATG_2017";"ATG";2017;0,75;95426;71844;23582;NA;92314;NA;NA;NA;NA;NA;71844;23582
"ATG_2018";"ATG";2018;0,73;96286;72600;23686;NA;NA;NA;NA;NA;NA;96286;72600;23686
"AUS_2000";"AUS";2000;1,33;18991431;2994014;15997417;NA;18936793;NA;2965770;15704116;15971021;NA;NA;NA
"AUS_2001";"AUS";2001;NA;19194672;3051888;16142784;NA;19139245;NA;3023098;15846817;16116148;NA;NA;NA
"AUS_2002";"AUS";2002;1,19;19401368;3061179;16340189;NA;19345531;NA;3032302;16040603;16313228;NA;NA;NA
"AUS_2003";"AUS";2003;0,88;19624166;3072636;16551530;NA;19572034;NA;3046160;16258066;16525875;NA;NA;NA
"AUS_2004";"AUS";2004;0,94;19879649;3088750;16790899;NA;19831210;NA;3064658;16503335;16766552;NA;NA;NA
"AUS_2005";"AUS";2005;0,89;20178540;3111162;17067378;NA;20133772;NA;3089436;16785389;17044337;NA;NA;NA
"AUS_2006";"AUS";2006;0,94;20526303;3140456;17385847;NA;20485203;NA;3121090;17109104;17364115;NA;NA;NA
